"","filename","well","assay_variable","sample_category","biological_replicates","name","Fluorophore","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","mean_medians"
"47","C01 Well - C01 WLSM.fcs","C01","76","negative",1,"76 /negative","mScarlet-I-A",-415.857635498047,-51.0871868133545,11.6028890609741,9.62223881117523,71.9227294921875,378,10.5514945983887
"48","C02 Well - C02 WLSM.fcs","C02","76","negative",2,"76 /negative","mScarlet-I-A",-444.071868896484,-56.375678062439,9.94050312042236,6.50423333913402,70.7974700927734,411,10.5514945983887
"49","C03 Well - C03 WLSM.fcs","C03","76","negative",3,"76 /negative","mScarlet-I-A",-517.985900878906,-55.6360883712769,10.1110916137695,8.27606677536008,76.0247573852539,421,10.5514945983887
"50","C01 Well - C01 WLSM.fcs","C01","76","negative",1,"76 /negative","mGreenLantern cor-A",-134.939453125,-4.08675932884216,22.3581428527832,24.4823188691032,50.8383483886719,307,24.6874424616496
"51","C02 Well - C02 WLSM.fcs","C02","76","negative",2,"76 /negative","mGreenLantern cor-A",-369.113922119141,-7.27785563468933,25.3937139511108,28.3355948190609,60.7977142333984,345,24.6874424616496
"52","C03 Well - C03 WLSM.fcs","C03","76","negative",3,"76 /negative","mGreenLantern cor-A",-303.968322753906,-7.93888604640961,26.3104705810547,30.1769916924457,64.2075614929199,362,24.6874424616496
"53","G03 Well - G03 WLSM.fcs","G03","PBS","negative",2,"PBS /negative","mScarlet-I-A",-217.451126098633,-40.4794731140137,12.483377456665,9.42361332940916,56.8967475891113,236,12.483377456665
"54","G03 Well - G03 WLSM.fcs","G03","PBS","negative",2,"PBS /negative","mGreenLantern cor-A",-96.4152603149414,-16.8763065338135,1.68137502670288,1.06190584648953,18.7316341400146,90,1.68137502670288
"55","B04 Well - B04 WLSM.fcs","B04","sPK18","negative",1,"sPK18 /negative","mScarlet-I-A",-619.798461914062,-58.155740737915,42.4744415283203,40.3556852304393,141.213684082031,625,43.2159296671549
"56","B05 Well - B05 WLSM.fcs","B05","sPK18","negative",2,"sPK18 /negative","mScarlet-I-A",-686.763061523438,-55.7642230987549,46.434778213501,44.7368036256392,146.038726806641,610,43.2159296671549
